sentiment,text,cleaned_text,tokenized_text,POS tagged,Lemma
Negative,The hospital didn't provide adequate accommodations for my disabilities.,hospital provide adequate accommodations disabilities,"['hospital', 'provide', 'adequate', 'accommodations', 'disabilities']","[('hospital', 'n'), ('provide', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('disabilities', 'n')]",  hospital provide adequate accommodation disability
Negative,The food provided by the hospital was unappetizing and lacked variety.,food provided hospital unappetizing lacked variety,"['food', 'provided', 'hospital', 'unappetizing', 'lacked', 'variety']","[('food', 'n'), ('provided', 'v'), ('hospital', 'n'), ('unappetizing', 'n'), ('lacked', 'v'), ('variety', 'n')]",  food provide hospital unappetizing lack variety
Negative,The hospital didn't provide sufficient support for my mental health needs.,hospital provide sufficient support mental health needs,"['hospital', 'provide', 'sufficient', 'support', 'mental', 'health', 'needs']","[('hospital', 'n'), ('provide', 'n'), ('sufficient', 'a'), ('support', 'n'), ('mental', 'a'), ('health', 'n'), ('needs', 'n')]",  hospital provide sufficient support mental health need
Negative,I didn't feel that my cultural or religious needs were respected by hospital staff.,feel cultural religious needs respected hospital staff,"['feel', 'cultural', 'religious', 'needs', 'respected', 'hospital', 'staff']","[('feel', 'v'), ('cultural', 'a'), ('religious', 'a'), ('needs', 'n'), ('respected', 'v'), ('hospital', 'a'), ('staff', 'n')]",  feel cultural religious need respect hospital staff
Negative,"The hospital didn't have adequate security measures in place, and I felt unsafe during my stay.",hospital adequate security measures place felt unsafe stay,"['hospital', 'adequate', 'security', 'measures', 'place', 'felt', 'unsafe', 'stay']","[('hospital', 'n'), ('adequate', 'a'), ('security', 'n'), ('measures', 'n'), ('place', 'v'), ('felt', 'v'), ('unsafe', 'a'), ('stay', 'n')]",  hospital adequate security measure place felt unsafe stay
Negative,The hospital didn't provide adequate follow-up care after I was discharged.,hospital provide adequate follow care discharged,"['hospital', 'provide', 'adequate', 'follow', 'care', 'discharged']","[('hospital', 'n'), ('provide', 'n'), ('adequate', 'v'), ('follow', 'a'), ('care', 'n'), ('discharged', 'v')]",  hospital provide adequate follow care discharge
Negative,"The hospital was disorganized, and it was difficult to navigate the system.",hospital disorganized difficult navigate system,"['hospital', 'disorganized', 'difficult', 'navigate', 'system']","[('hospital', 'n'), ('disorganized', 'v'), ('difficult', 'a'), ('navigate', 'n'), ('system', 'n')]",  hospital disorganize difficult navigate system
Negative,"The hospital was understaffed, and staff members seemed overwhelmed and overworked.",hospital understaffed staff members seemed overwhelmed overworked,"['hospital', 'understaffed', 'staff', 'members', 'seemed', 'overwhelmed', 'overworked']","[('hospital', 'n'), ('understaffed', 'a'), ('staff', 'n'), ('members', 'n'), ('seemed', 'v'), ('overwhelmed', 'a'), ('overworked', 'v')]",  hospital understaffed staff member seem overwhelmed overwork
Negative,I didn't receive appropriate accommodations for my language needs.,receive appropriate accommodations language needs,"['receive', 'appropriate', 'accommodations', 'language', 'needs']","[('receive', 'a'), ('appropriate', 'a'), ('accommodations', 'n'), ('language', 'n'), ('needs', 'n')]",  receive appropriate accommodation language need
Negative,The hospital didn't have adequate resources or accommodations for my young child during my stay.,hospital adequate resources accommodations young child stay,"['hospital', 'adequate', 'resources', 'accommodations', 'young', 'child', 'stay']","[('hospital', 'n'), ('adequate', 'a'), ('resources', 'n'), ('accommodations', 'n'), ('young', 'a'), ('child', 'v'), ('stay', 'v')]",  hospital adequate resource accommodation young child stay
Negative,"The hospital didn't have enough equipment or supplies, causing delays in my treatment.",hospital enough equipment supplies causing delays treatment,"['hospital', 'enough', 'equipment', 'supplies', 'causing', 'delays', 'treatment']","[('hospital', 'n'), ('enough', 'a'), ('equipment', 'n'), ('supplies', 'n'), ('causing', 'v'), ('delays', 'n'), ('treatment', 'n')]",  hospital enough equipment supply cause delay treatment
Negative,The hospital didn't provide adequate pain management for my condition.,hospital provide adequate pain management condition,"['hospital', 'provide', 'adequate', 'pain', 'management', 'condition']","[('hospital', 'n'), ('provide', 'n'), ('adequate', 'n'), ('pain', 'n'), ('management', 'n'), ('condition', 'n')]",  hospital provide adequate pain management condition
Negative,The hospital was noisy and disrupted my ability to rest and recover.,hospital noisy disrupted ability rest recover,"['hospital', 'noisy', 'disrupted', 'ability', 'rest', 'recover']","[('hospital', 'n'), ('noisy', 'r'), ('disrupted', 'v'), ('ability', 'n'), ('rest', 'n'), ('recover', 'n')]",  hospital noisy disrupt ability rest recover
Negative,The hospital didn't provide me with enough information about the potential side effects of my medication.,hospital provide enough information potential side effects medication,"['hospital', 'provide', 'enough', 'information', 'potential', 'side', 'effects', 'medication']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'a'), ('side', 'n'), ('effects', 'n'), ('medication', 'n')]",  hospital provide enough information potential side effect medication
Negative,The hospital didn't provide me with enough information about the risks and benefits of my treatment options.,hospital provide enough information risks benefits treatment options,"['hospital', 'provide', 'enough', 'information', 'risks', 'benefits', 'treatment', 'options']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('risks', 'n'), ('benefits', 'n'), ('treatment', 'n'), ('options', 'n')]",  hospital provide enough information risk benefit treatment option
Negative,The hospital didn't have adequate accommodations for my family members who were visiting me.,hospital adequate accommodations family members visiting,"['hospital', 'adequate', 'accommodations', 'family', 'members', 'visiting']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('family', 'n'), ('members', 'n'), ('visiting', 'v')]",  hospital adequate accommodation family member visit
Negative,The hospital didn't have adequate facilities for breastfeeding mothers.,hospital adequate facilities breastfeeding mothers,"['hospital', 'adequate', 'facilities', 'breastfeeding', 'mothers']","[('hospital', 'n'), ('adequate', 'n'), ('facilities', 'n'), ('breastfeeding', 'v'), ('mothers', 'n')]",  hospital adequate facility breastfeed mother
Negative,I felt that the hospital staff didn't respect my privacy or dignity during my treatment.,felt hospital staff respect privacy dignity treatment,"['felt', 'hospital', 'staff', 'respect', 'privacy', 'dignity', 'treatment']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('respect', 'n'), ('privacy', 'n'), ('dignity', 'n'), ('treatment', 'n')]",  felt hospital staff respect privacy dignity treatment
Negative,"I experienced delays in receiving my test results, causing anxiety and uncertainty.",experienced delays receiving test results causing anxiety uncertainty,"['experienced', 'delays', 'receiving', 'test', 'results', 'causing', 'anxiety', 'uncertainty']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('test', 'n'), ('results', 'n'), ('causing', 'v'), ('anxiety', 'n'), ('uncertainty', 'n')]",  experienced delay receive test result cause anxiety uncertainty
Negative,"I received contradictory information from different doctors or nurses, causing confusion and frustration.",received contradictory information different doctors nurses causing confusion frustration,"['received', 'contradictory', 'information', 'different', 'doctors', 'nurses', 'causing', 'confusion', 'frustration']","[('received', 'v'), ('contradictory', 'a'), ('information', 'n'), ('different', 'a'), ('doctors', 'n'), ('nurses', 'n'), ('causing', 'v'), ('confusion', 'n'), ('frustration', 'n')]",  receive contradictory information different doctor nurse cause confusion frustration
Negative,"I experienced medical errors, such as incorrect dosages or misdiagnoses, that could have been prevented.",experienced medical errors incorrect dosages misdiagnoses could prevented,"['experienced', 'medical', 'errors', 'incorrect', 'dosages', 'misdiagnoses', 'could', 'prevented']","[('experienced', 'a'), ('medical', 'a'), ('errors', 'n'), ('incorrect', 'v'), ('dosages', 'n'), ('misdiagnoses', 'n'), ('could', None), ('prevented', 'v')]",  experienced medical error incorrect dosage misdiagnoses could prevent
Negative,The hospital didn't provide me with enough emotional support during my stay.,hospital provide enough emotional support stay,"['hospital', 'provide', 'enough', 'emotional', 'support', 'stay']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'r'), ('emotional', 'a'), ('support', 'n'), ('stay', 'n')]",  hospital provide enough emotional support stay
Negative,The hospital didn't provide me with enough information about my discharge plan or aftercare instructions.,hospital provide enough information discharge plan aftercare instructions,"['hospital', 'provide', 'enough', 'information', 'discharge', 'plan', 'aftercare', 'instructions']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('discharge', 'n'), ('plan', 'n'), ('aftercare', 'v'), ('instructions', 'n')]",  hospital provide enough information discharge plan aftercare instruction
Negative,"The hospital didn't have adequate accommodations for patients with disabilities, such as wheelchair ramps or elevators.",hospital adequate accommodations patients disabilities wheelchair ramps elevators,"['hospital', 'adequate', 'accommodations', 'patients', 'disabilities', 'wheelchair', 'ramps', 'elevators']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('disabilities', 'n'), ('wheelchair', 'v'), ('ramps', 'n'), ('elevators', 'n')]",  hospital adequate accommodation patient disability wheelchair ramp elevator
Negative,The hospital didn't provide me with enough information about my insurance coverage or financial responsibilities.,hospital provide enough information insurance coverage financial responsibilities,"['hospital', 'provide', 'enough', 'information', 'insurance', 'coverage', 'financial', 'responsibilities']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('insurance', 'n'), ('coverage', 'n'), ('financial', 'a'), ('responsibilities', 'n')]",  hospital provide enough information insurance coverage financial responsibility
Negative,I didn't feel that the hospital staff members were properly trained or qualified to provide the care that I needed.,feel hospital staff members properly trained qualified provide care needed,"['feel', 'hospital', 'staff', 'members', 'properly', 'trained', 'qualified', 'provide', 'care', 'needed']","[('feel', 'v'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('properly', 'r'), ('trained', 'v'), ('qualified', 'a'), ('provide', 'n'), ('care', 'n'), ('needed', 'v')]",  feel hospital staff member properly train qualified provide care need
Negative,The hospital didn't provide me with enough information about the potential risks and benefits of undergoing a surgical procedure.,hospital provide enough information potential risks benefits undergoing surgical procedure,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'benefits', 'undergoing', 'surgical', 'procedure']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('benefits', 'n'), ('undergoing', 'v'), ('surgical', 'a'), ('procedure', 'n')]",  hospital provide enough information potential risk benefit undergo surgical procedure
Negative,"The hospital was disorganized, causing delays and confusion in the treatment process.",hospital disorganized causing delays confusion treatment process,"['hospital', 'disorganized', 'causing', 'delays', 'confusion', 'treatment', 'process']","[('hospital', 'n'), ('disorganized', 'v'), ('causing', 'n'), ('delays', 'n'), ('confusion', 'n'), ('treatment', 'n'), ('process', 'n')]",  hospital disorganize causing delay confusion treatment process
Negative,The hospital didn't provide me with enough opportunities to provide feedback or voice my concerns.,hospital provide enough opportunities provide feedback voice concerns,"['hospital', 'provide', 'enough', 'opportunities', 'provide', 'feedback', 'voice', 'concerns']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'r'), ('opportunities', 'n'), ('provide', 'v'), ('feedback', 'a'), ('voice', 'n'), ('concerns', 'n')]",  hospital provide enough opportunity provide feedback voice concern
Negative,The hospital didn't have adequate policies or procedures in place to address patient complaints or grievances.,hospital adequate policies procedures place address patient complaints grievances,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'address', 'patient', 'complaints', 'grievances']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('address', 'a'), ('patient', 'n'), ('complaints', 'n'), ('grievances', 'n')]",  hospital adequate policy procedure place address patient complaint grievance
Negative,I felt that the hospital staff members were dismissive of my pain or discomfort.,felt hospital staff members dismissive pain discomfort,"['felt', 'hospital', 'staff', 'members', 'dismissive', 'pain', 'discomfort']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('dismissive', 'v'), ('pain', 'n'), ('discomfort', 'n')]",  felt hospital staff member dismissive pain discomfort
Negative,The hospital didn't provide me with enough information about the potential complications or risks of my treatment.,hospital provide enough information potential complications risks treatment,"['hospital', 'provide', 'enough', 'information', 'potential', 'complications', 'risks', 'treatment']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'a'), ('complications', 'n'), ('risks', 'n'), ('treatment', 'n')]",  hospital provide enough information potential complication risk treatment
Negative,"I experienced delays in receiving medical attention, causing me additional pain or discomfort.",experienced delays receiving medical attention causing additional pain discomfort,"['experienced', 'delays', 'receiving', 'medical', 'attention', 'causing', 'additional', 'pain', 'discomfort']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('medical', 'a'), ('attention', 'n'), ('causing', 'v'), ('additional', 'a'), ('pain', 'n'), ('discomfort', 'n')]",  experienced delay receive medical attention cause additional pain discomfort
Negative,The hospital didn't provide me with enough information about my options for palliative or end-of-life care.,hospital provide enough information options palliative end life care,"['hospital', 'provide', 'enough', 'information', 'options', 'palliative', 'end', 'life', 'care']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('options', 'n'), ('palliative', 'v'), ('end', 'a'), ('life', 'n'), ('care', 'n')]",  hospital provide enough information option palliative end life care
Negative,The hospital didn't provide me with enough opportunities to participate in my own care decisions or treatment planning.,hospital provide enough opportunities participate care decisions treatment planning,"['hospital', 'provide', 'enough', 'opportunities', 'participate', 'care', 'decisions', 'treatment', 'planning']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('opportunities', 'n'), ('participate', 'v'), ('care', 'n'), ('decisions', 'n'), ('treatment', 'n'), ('planning', 'n')]",  hospital provide enough opportunity participate care decision treatment planning
Negative,The hospital didn't provide me with enough information about my medical condition or the treatments that I was receiving.,hospital provide enough information medical condition treatments receiving,"['hospital', 'provide', 'enough', 'information', 'medical', 'condition', 'treatments', 'receiving']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('medical', 'a'), ('condition', 'n'), ('treatments', 'n'), ('receiving', 'v')]",  hospital provide enough information medical condition treatment receive
Negative,I didn't feel that the hospital staff members were empathetic or understanding of my concerns or fears.,feel hospital staff members empathetic understanding concerns fears,"['feel', 'hospital', 'staff', 'members', 'empathetic', 'understanding', 'concerns', 'fears']","[('feel', 'v'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('empathetic', 'a'), ('understanding', 'a'), ('concerns', 'n'), ('fears', 'n')]",  feel hospital staff member empathetic understanding concern fear
Negative,The hospital didn't provide me with enough information about the potential side effects or risks of undergoing a medical procedure.,hospital provide enough information potential side effects risks undergoing medical procedure,"['hospital', 'provide', 'enough', 'information', 'potential', 'side', 'effects', 'risks', 'undergoing', 'medical', 'procedure']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'a'), ('side', 'n'), ('effects', 'n'), ('risks', 'v'), ('undergoing', 'a'), ('medical', 'a'), ('procedure', 'n')]",  hospital provide enough information potential side effect risk undergoing medical procedure
Negative,"I experienced delays in receiving my medication or other necessary treatments, causing my condition to worsen.",experienced delays receiving medication necessary treatments causing condition worsen,"['experienced', 'delays', 'receiving', 'medication', 'necessary', 'treatments', 'causing', 'condition', 'worsen']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('medication', 'n'), ('necessary', 'a'), ('treatments', 'n'), ('causing', 'v'), ('condition', 'n'), ('worsen', 'n')]",  experienced delay receive medication necessary treatment cause condition worsen
Negative,"The hospital didn't have adequate accommodations for patients who require medical equipment, such as oxygen tanks or mobility devices.",hospital adequate accommodations patients require medical equipment oxygen tanks mobility devices,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'medical', 'equipment', 'oxygen', 'tanks', 'mobility', 'devices']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('medical', 'a'), ('equipment', 'n'), ('oxygen', 'n'), ('tanks', 'n'), ('mobility', 'n'), ('devices', 'n')]",  hospital adequate accommodation patient require medical equipment oxygen tank mobility device
Negative,The hospital didn't provide me with enough information about the potential benefits of undergoing a medical procedure.,hospital provide enough information potential benefits undergoing medical procedure,"['hospital', 'provide', 'enough', 'information', 'potential', 'benefits', 'undergoing', 'medical', 'procedure']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'a'), ('benefits', 'n'), ('undergoing', 'v'), ('medical', 'a'), ('procedure', 'n')]",  hospital provide enough information potential benefit undergo medical procedure
Negative,I felt that the hospital staff members were rude or condescending towards me during my stay.,felt hospital staff members rude condescending towards stay,"['felt', 'hospital', 'staff', 'members', 'rude', 'condescending', 'towards', 'stay']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('rude', 'v'), ('condescending', 'v'), ('towards', 'n'), ('stay', 'n')]",  felt hospital staff member rude condescend towards stay
Negative,The hospital didn't provide me with enough opportunities to ask questions or clarify my understanding of my medical condition or treatment options.,hospital provide enough opportunities ask questions clarify understanding medical condition treatment options,"['hospital', 'provide', 'enough', 'opportunities', 'ask', 'questions', 'clarify', 'understanding', 'medical', 'condition', 'treatment', 'options']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('opportunities', 'n'), ('ask', 'v'), ('questions', 'n'), ('clarify', 'v'), ('understanding', 'a'), ('medical', 'a'), ('condition', 'n'), ('treatment', 'n'), ('options', 'n')]",  hospital provide enough opportunity ask question clarify understanding medical condition treatment option
Negative,I didn't feel that the hospital staff members were adequately prepared or trained to handle medical emergencies.,feel hospital staff members adequately prepared trained handle medical emergencies,"['feel', 'hospital', 'staff', 'members', 'adequately', 'prepared', 'trained', 'handle', 'medical', 'emergencies']","[('feel', 'v'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('adequately', 'r'), ('prepared', 'a'), ('trained', 'v'), ('handle', 'a'), ('medical', 'a'), ('emergencies', 'n')]",  feel hospital staff member adequately prepared train handle medical emergency
Negative,The hospital didn't provide me with enough information about the potential risks or complications of undergoing a medical procedure.,hospital provide enough information potential risks complications undergoing medical procedure,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'undergoing', 'medical', 'procedure']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('undergoing', 'v'), ('medical', 'a'), ('procedure', 'n')]",  hospital provide enough information potential risk complication undergo medical procedure
Negative,"I experienced delays in receiving medical attention, causing me to feel anxious or frustrated.",experienced delays receiving medical attention causing feel anxious frustrated,"['experienced', 'delays', 'receiving', 'medical', 'attention', 'causing', 'feel', 'anxious', 'frustrated']","[('experienced', 'a'), ('delays', 'n'), ('receiving', 'v'), ('medical', 'a'), ('attention', 'n'), ('causing', 'v'), ('feel', 'v'), ('anxious', 'a'), ('frustrated', 'v')]",  experienced delay receive medical attention cause feel anxious frustrate
Negative,The hospital didn't provide me with enough information about the potential long-term effects of my treatment.,hospital provide enough information potential long term effects treatment,"['hospital', 'provide', 'enough', 'information', 'potential', 'long', 'term', 'effects', 'treatment']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('long', 'a'), ('term', 'n'), ('effects', 'n'), ('treatment', 'n')]",  hospital provide enough information potential long term effect treatment
Negative,The hospital didn't have adequate policies or procedures in place to prevent the spread of infections or illnesses.,hospital adequate policies procedures place prevent spread infections illnesses,"['hospital', 'adequate', 'policies', 'procedures', 'place', 'prevent', 'spread', 'infections', 'illnesses']","[('hospital', 'n'), ('adequate', 'a'), ('policies', 'n'), ('procedures', 'n'), ('place', 'v'), ('prevent', 'a'), ('spread', 'n'), ('infections', 'n'), ('illnesses', 'n')]",  hospital adequate policy procedure place prevent spread infection illness
Negative,"The hospital didn't provide me with enough information about my rights as a patient, such as my right to refuse treatment.",hospital provide enough information rights patient right refuse treatment,"['hospital', 'provide', 'enough', 'information', 'rights', 'patient', 'right', 'refuse', 'treatment']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('rights', 'n'), ('patient', 'n'), ('right', 'r'), ('refuse', 'n'), ('treatment', 'n')]",  hospital provide enough information right patient right refuse treatment
Negative,"I felt that the hospital staff members were overworked and understaffed, causing delays and mistakes in my treatment.",felt hospital staff members overworked understaffed causing delays mistakes treatment,"['felt', 'hospital', 'staff', 'members', 'overworked', 'understaffed', 'causing', 'delays', 'mistakes', 'treatment']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('overworked', 'v'), ('understaffed', 'a'), ('causing', 'n'), ('delays', 'n'), ('mistakes', 'v'), ('treatment', 'n')]",  felt hospital staff member overwork understaffed causing delay mistake treatment
Negative,The hospital didn't provide me with enough opportunities to provide feedback or suggestions for improvement.,hospital provide enough opportunities provide feedback suggestions improvement,"['hospital', 'provide', 'enough', 'opportunities', 'provide', 'feedback', 'suggestions', 'improvement']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'r'), ('opportunities', 'n'), ('provide', 'v'), ('feedback', 'a'), ('suggestions', 'n'), ('improvement', 'n')]",  hospital provide enough opportunity provide feedback suggestion improvement
Negative,The hospital didn't provide me with enough information about the potential risks or complications of anesthesia during my surgery.,hospital provide enough information potential risks complications anesthesia surgery,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'anesthesia', 'surgery']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('anesthesia', 'v'), ('surgery', 'n')]",  hospital provide enough information potential risk complication anesthesia surgery
Negative,I felt that the hospital staff members were more concerned with following protocols and procedures than with providing compassionate care.,felt hospital staff members concerned following protocols procedures providing compassionate care,"['felt', 'hospital', 'staff', 'members', 'concerned', 'following', 'protocols', 'procedures', 'providing', 'compassionate', 'care']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('concerned', 'v'), ('following', 'v'), ('protocols', 'n'), ('procedures', 'n'), ('providing', 'v'), ('compassionate', 'n'), ('care', 'n')]",  felt hospital staff member concern follow protocol procedure provide compassionate care
Negative,The hospital didn't provide me with enough information about the potential risks or complications of a medical test that I underwent.,hospital provide enough information potential risks complications medical test underwent,"['hospital', 'provide', 'enough', 'information', 'potential', 'risks', 'complications', 'medical', 'test', 'underwent']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'n'), ('risks', 'n'), ('complications', 'n'), ('medical', 'a'), ('test', 'n'), ('underwent', 'n')]",  hospital provide enough information potential risk complication medical test underwent
Negative,The hospital didn't have adequate accommodations for patients who require special dietary restrictions or preferences.,hospital adequate accommodations patients require special dietary restrictions preferences,"['hospital', 'adequate', 'accommodations', 'patients', 'require', 'special', 'dietary', 'restrictions', 'preferences']","[('hospital', 'n'), ('adequate', 'a'), ('accommodations', 'n'), ('patients', 'n'), ('require', 'v'), ('special', 'a'), ('dietary', 'a'), ('restrictions', 'n'), ('preferences', 'n')]",  hospital adequate accommodation patient require special dietary restriction preference
Negative,The hospital didn't provide me with enough information about the potential effects of stopping or changing my medication regimen.,hospital provide enough information potential effects stopping changing medication regimen,"['hospital', 'provide', 'enough', 'information', 'potential', 'effects', 'stopping', 'changing', 'medication', 'regimen']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'a'), ('information', 'n'), ('potential', 'a'), ('effects', 'n'), ('stopping', 'v'), ('changing', 'v'), ('medication', 'n'), ('regimen', 'n')]",  hospital provide enough information potential effect stop change medication regimen
Negative,"I felt that the hospital staff members didn't communicate effectively with one another, causing confusion and errors in my care.",felt hospital staff members communicate effectively one another causing confusion errors care,"['felt', 'hospital', 'staff', 'members', 'communicate', 'effectively', 'one', 'another', 'causing', 'confusion', 'errors', 'care']","[('felt', 'a'), ('hospital', 'a'), ('staff', 'n'), ('members', 'n'), ('communicate', 'v'), ('effectively', 'r'), ('one', None), ('another', None), ('causing', 'v'), ('confusion', 'n'), ('errors', 'n'), ('care', 'v')]",  felt hospital staff member communicate effectively one another cause confusion error care
Negative,The hospital didn't provide me with enough opportunities to involve my family members or loved ones in my care.,hospital provide enough opportunities involve family members loved ones care,"['hospital', 'provide', 'enough', 'opportunities', 'involve', 'family', 'members', 'loved', 'ones', 'care']","[('hospital', 'n'), ('provide', 'r'), ('enough', 'r'), ('opportunities', 'n'), ('involve', 'v'), ('family', 'n'), ('members', 'n'), ('loved', 'v'), ('ones', 'n'), ('care', 'n')]",  hospital provide enough opportunity involve family member love one care
